Economy_Label,2005_Metric_tons_in_thousands_Value,2005_Metric_tons_MissingValue,2006_Metric_tons_in_thousands_Value,2006_Metric_tons_MissingValue,2007_Metric_tons_in_thousands_Value,2007_Metric_tons_MissingValue,2008_Metric_tons_in_thousands_Value,2008_Metric_tons_MissingValue,2009_Metric_tons_in_thousands_Value,2009_Metric_tons_MissingValue,2010_Metric_tons_in_thousands_Value,2010_Metric_tons_MissingValue,2011_Metric_tons_in_thousands_Value,2011_Metric_tons_MissingValue,2012_Metric_tons_in_thousands_Value,2012_Metric_tons_MissingValue,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_MissingValue
"Developing economies: Asia and Oceania",9027,,10832,,11799,,12211,,13011,,13525,,13232,,13008,,11659,,12563,,11397,,12889,,9486,,3901,,2841,,2731,,2393,,2314,,2209,
"Developed economies",2217,,2481,,2558,,2339,,2392,,2967,,3188,,2929,,3200,,2981,,3868,,3514,,3552,,3955,,3446,,3410,,3983,,4260,,3471,
"Developed economies: Americas",821,,785,,623,,593,,498,,545,,513,,534,,533,,623,,664,,591,,589,,604,,211,,521,,670,,537,,557,
"Developed economies: Asia and Oceania",59,,53,,59,,85,,81,,87,,105,,107,,125,,112,,118,,107,,114,,206,,226,,129,,121,,107,,73,
"Developed economies: Europe",1336,,1642,,1876,,1661,,1813,,2335,,2570,,2289,,2543,,2246,,3086,,2816,,2849,,3144,,3010,,2761,,3192,,3615,,2841,
"Developing economies excluding China",4098,,5034,,4910,,5210,,5765,,5609,,4931,,4219,,3889,,4484,,4199,,4252,,3828,,4065,,3063,,2970,,2767,,2666,,2551,
"Developing economies excluding LDCs",9138,,10964,,11919,,12356,,13142,,13683,,13374,,13149,,11800,,12761,,11563,,13059,,9677,,4084,,2910,,2879,,2720,,2638,,2496,
"LDCs (Least developed countries)",14,,11,,9,,10,,10,,15,,15,,15,,24,,21,,28,,13,,21,,32,,154,,91,,47,,28,,54,
"LDCs: Africa",10,,6,,5,,5,,3,,4,,7,,7,,9,,15,,11,,10,,14,,17,,21,,17,,13,,15,,18,
"LDCs: Asia",4,,5,,4,,5,,6,,10,,8,,9,,14,,7,,17,,3,,6,,15,,134,,74,,35,,14,,36,
"LDCs: Islands and Haiti",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,
"LLDCs (Landlocked developing countries)",11,,10,,9,,9,,9,,10,,11,,13,,14,,13,,12,,12,,29,,62,,173,,130,,63,,74,,108,
"SIDS (Small island developing States) (UN-OHRLLS)",19,,35,,20,,18,,11,,11,,21,,17,,17,,20,,19,,12,,19,,28,,24,,33,,19,,5,,4,
"SIDS: Atlantic and Indian Ocean",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"SIDS: Caribbean",5,,26,,7,,10,,6,,6,,17,,12,,12,,14,,14,,8,,10,,18,,19,,28,,18,,4,,4,
"SIDS: Pacific",15,,9,,12,,8,,5,,4,,4,,5,,5,,6,,5,,3,,8,,10,,5,,6,,1,,1,,0,
"BRICS",5211,,6114,,7254,,7332,,7905,,8318,,8737,,9300,,8396,,8714,,7741,,9171,,6207,,671,,512,,281,,312,,354,,387,
"European Union (2020 …)",1239,,1501,,1695,,1539,,1732,,2205,,2428,,2157,,2376,,2071,,2944,,2583,,2659,,2860,,2728,,2611,,3058,,3487,,2754,
"G20 (Group of Twenty)",6692,,7624,,8675,,8516,,9071,,9704,,10191,,10875,,10002,,10521,,9638,,10837,,8177,,2913,,2082,,2283,,2829,,2608,,2264,
"G-77 (Group of 77)",5461,,6373,,7573,,7635,,8206,,8656,,9142,,9683,,8981,,9352,,8346,,9801,,7280,,2574,,1767,,1512,,1514,,1450,,1447,
"OECD (Organisation for Economic Cooperation and Development)",2274,,2538,,2612,,2374,,2428,,3011,,3250,,2990,,3248,,3039,,3923,,3592,,3739,,4208,,3423,,3981,,4596,,4923,,4100,
